distance,0.8,0.6,0.4,0.2,name
10.89,0.000671,0.000762,0.001257,0.0021030000000000003,plant
11.86,0.0006799999999999999,0.0008449999999999999,0.000908,0.002092,plant
12.82,0.0008699999999999999,0.000833,0.0008710000000000001,0.0021379999999999997,plant
13.79,0.000576,0.000502,0.000553,0.002614,plant
14.75,0.000906,0.000886,0.001026,0.001186,plant
15.71,0.000296,0.000342,0.00042800000000000005,0.001354,plant
16.67,0.000362,0.000538,0.000583,0.001588,plant
17.64,0.000547,0.000371,0.000614,0.001713,plant
18.6,0.000246,0.000272,0.00035499999999999996,0.000837,plant
2.1,0.011184,0.025551,0.031853,0.07433,table
4.46,0.0015539999999999998,0.006564,0.0076359999999999996,0.017628,table
6.73,0.001015,0.003834,0.004332,0.009691,table
8.95,0.000927,0.002236,0.003264,0.007954000000000001,table
11.14,0.000755,0.0009369999999999999,0.002069,0.006372,table
13.32,0.000606,0.000533,0.0018260000000000001,0.005524,table
15.49,0.000482,0.000573,0.0015550000000000002,0.0048590000000000005,table
17.65,0.0005679999999999999,0.0005610000000000001,0.001454,0.004490999999999999,table
19.8,0.000335,0.000883,0.001535,0.004067,table
21.95,0.000349,0.0006799999999999999,0.001065,0.0036030000000000003,table
24.09,0.000292,0.000517,0.001016,0.0031609999999999997,table
26.23,0.000213,0.000698,0.001209,0.006993999999999999,table
28.37,0.000188,0.000401,0.000833,0.0028469999999999997,table
30.51,0.000131,0.000868,0.001035,0.005457,table
32.64,0.000153,0.0007440000000000001,0.0008880000000000001,0.002731,table
34.77,0.00024900000000000004,0.000964,0.001093,0.002682,table
36.9,0.00011499999999999999,0.000909,0.000807,0.003278,table
39.03,9.4e-05,0.000715,0.000517,0.0026449999999999998,table
41.15,0.000117,0.000436,0.00031800000000000003,0.002337,table
43.28,9.300000000000001e-05,0.000248,0.000251,0.0022719999999999997,table
45.4,7e-05,0.000383,0.000508,0.0016239999999999998,table
0.22,0.029244,0.035996,0.050414999999999995,0.109328,splane
0.44,0.013127000000000002,0.015136000000000002,0.020371,0.047419,splane
0.66,0.010165,0.01083,0.012846000000000002,0.0319,splane
0.88,0.007684999999999999,0.007894,0.009643,0.024373,splane
1.1,0.005693999999999999,0.005927,0.0074329999999999995,0.018597,splane
1.32,0.004225,0.004483,0.005629,0.015363,splane
1.54,0.0029760000000000003,0.003062,0.003796,0.012459999999999999,splane
1.76,0.001979,0.002039,0.0029530000000000003,0.011747,splane
1.98,0.001744,0.0018210000000000001,0.002491,0.010331,splane
2.2,0.001983,0.0021550000000000002,0.003077,0.010092,splane
2.42,0.0017620000000000001,0.002128,0.002333,0.009833,splane
2.64,0.001204,0.0012050000000000001,0.001696,0.008236,splane
2.86,0.000833,0.0009369999999999999,0.002382,0.008216,splane
3.08,0.00085,0.000992,0.0018170000000000003,0.007026999999999999,splane
3.3,0.000668,0.000784,0.0017519999999999999,0.007543000000000001,splane
3.52,0.00047400000000000003,0.000396,0.001466,0.00665,splane
3.74,0.0012460000000000001,0.001219,0.002069,0.006215999999999999,splane
3.96,0.000923,0.001093,0.002177,0.006218,splane
4.18,0.000654,0.000643,0.00126,0.006145,splane
4.4,0.000261,0.000294,0.001504,0.005259000000000001,splane
4.62,0.000368,0.000286,0.000791,0.00509,splane
4.84,0.00046399999999999995,0.000455,0.0012980000000000001,0.0051600000000000005,splane
5.06,0.000261,0.000225,0.00116,0.005104,splane
5.28,0.000171,0.000197,0.001032,0.005266,splane
5.5,0.000277,0.000198,0.00078,0.004835,splane
5.72,0.00022200000000000003,0.00018999999999999998,0.0008529999999999999,0.004809000000000001,splane
5.94,0.00044100000000000004,0.000367,0.0008939999999999999,0.00504,splane
6.16,0.000304,0.000297,0.001036,0.005334,splane
6.38,0.0005200000000000001,0.000556,0.000826,0.004406,splane
2.52,0.038945,0.15323699999999998,0.217099,0.256244,ATV
5.05,0.013259,0.076185,0.12238800000000001,0.133475,ATV
7.57,0.007139,0.052627,0.085486,0.087787,ATV
10.1,0.004957,0.040156,0.06589500000000001,0.063838,ATV
12.62,0.0035399999999999997,0.031886000000000005,0.053367,0.049002,ATV
15.14,0.0025,0.027212,0.045207,0.039861,ATV
17.67,0.0019440000000000002,0.024495,0.039866000000000006,0.033823,ATV
20.19,0.0017519999999999999,0.0208,0.034577,0.027379,ATV
22.72,0.002022,0.01924,0.031927,0.02458,ATV
25.24,0.001959,0.017393000000000002,0.028619,0.02213,ATV
