alpha,betta,c,gamma,max_deg,tris,name,mindis,filesize
0.2184,-0.3634,0.2721,1.4393971779530785,0.087152,146803.0,['plane'],1.79,105546784.0
0.1149,-0.1819,0.0935,0.905601731011539,0.080432357,2304.0,['andy'],0.74,1982112.0
-0.0463,0.0252,0.0484,1.0261491750893779,0.075418,50282.0,['chair'],0.68,19398272.0
0.3502,-0.4532,0.1684,1.2932328939430904,0.095863,29128.0,['plant'],0.95,51892480.0
0.5559,-0.8696,0.381,1.5772759216291417,0.07433,21094.0,['table'],2.1,4819200.0
0.0679,-0.0923,0.0365,1.079412192262939,0.109328,146803.0,['splane'],0.22,105539360.0
